,Burst Name,Burst ID,Boxes,Count
380,GRB090404,95373324,6,24
381,GRB090407,95373326,4,28
382,GRB090410,95373327,7,27
383,GRB090417A,95373328,4,30
384,GRB090417B,95373330,5,33
385,GRB090418A,95373331,7,43
386,GRB090419,95373332,4,26
387,GRB090422,95373334,5,29
388,GRB090423,95373336,4,31
389,GRB090424,95373338,5,29
390,GRB090426,95373340,3,24
391,GRB090429A,95373341,3,33
392,GRB090429B,95373342,3,31
393,GRB090509,95373344,5,32
394,GRB090510,95373345,4,36
395,GRB090515,95373346,3,28
396,GRB090516A,95373347,4,31
397,GRB090518,95373350,3,28
398,GRB090519,95373351,7,30
399,GRB090529A,95373352,6,38
400,GRB090530,95373354,5,31
401,GRB090531A,95373355,5,33
402,GRB090531B,95373357,9,33
403,GRB090607,95373358,4,33
404,GRB090618,95373359,6,32
405,GRB090621A,95373361,6,36
406,GRB090621B,95373365,3,38
407,GRB090628,95373366,6,29
408,GRB090708,95373368,2,28
409,GRB090709A,95373369,3,34
410,GRB090709B,95373370,5,26
411,GRB090712,95373372,3,27
412,GRB090715A,95373373,6,30
413,GRB090715B,95373374,5,25
414,GRB090720A,95373376,4,33
415,GRB090726,95373379,8,28
416,GRB090727,95373380,5,28
417,GRB090728,95373382,4,34
418,GRB090807A,95373384,8,36
419,GRB090809A,95373385,3,31
420,GRB090812,95373386,6,35
421,GRB090813,95373387,5,29
422,GRB090814A,95373389,5,26
423,GRB090827,95373391,3,35
424,GRB090831C,95373393,4,27
425,GRB090904A,95373394,5,33
426,GRB090904B,95373396,5,29
427,GRB090912,95373398,5,32
428,GRB090916,95373399,4,35
429,GRB090926B,95373400,3,33
430,GRB090927,95373401,4,34
431,GRB090929B,95373403,9,40
432,GRB091018,95373405,3,35
433,GRB091020,95373406,5,33
434,GRB091024,95373408,5,36
435,GRB091026,95373409,3,28
436,GRB091029,95373411,4,30
437,GRB091102,95373412,4,33
438,GRB091104,95373413,2,30
439,GRB091109A,95373415,4,28
440,GRB091109B,95373418,4,32
441,GRB091112,95373420,4,38
442,GRB091127,95373421,4,33
443,GRB091130B,95373423,4,26
444,GRB091208A,95373424,3,28
445,GRB091208B,95373425,5,29
446,GRB091221,95373426,7,31
447,GRB100111A,95373427,6,33
448,GRB100117A,95373429,4,38
449,GRB100119A,95373431,5,23
450,GRB100205A,95373433,6,37
451,GRB100206A,95373435,3,29
452,GRB100212A,95373437,6,31
453,GRB100213A,95373438,4,32
454,GRB100213B,95373439,3,30
455,GRB100219A,95373440,5,30
456,GRB100302A,95373441,6,33
457,GRB100305A,95373443,6,42
458,GRB100316A,95373445,4,36
459,GRB100316B,95373447,3,34
460,GRB100316C,95373448,3,33
461,GRB100316D,95373450,2,31
462,GRB100413A,95373451,5,27
463,GRB100418A,95373452,4,29
464,GRB100420A,95373453,1,27
465,GRB100423A,95373454,3,35
466,GRB100424A,95373457,3,31
467,GRB100425A,95373459,5,32
468,GRB100504A,95373460,3,29
469,GRB100508A,95373463,3,31
470,GRB100513A,95373464,4,33
471,GRB100514A,95373465,4,28
472,GRB100522A,95373466,5,32
473,GRB100526A,95373467,7,30
474,GRB100526B,95373468,4,23
475,GRB100606A,95373470,3,37
476,GRB100614A,95373472,4,29
477,GRB100615A,95373474,5,29
478,GRB100619A,95373476,5,34
479,GRB100621A,95373477,4,23
480,GRB100625A,95373479,3,29
481,GRB100628A,95373480,4,32
482,GRB100702A,95373481,3,36
483,GRB100704A,95373482,5,32
484,GRB100719A,95373483,4,27
485,GRB100724A,95373485,3,36
486,GRB100725A,95373487,4,29
487,GRB100725B,95373489,8,33
488,GRB100727A,95373491,4,34
489,GRB100728A,95373492,3,24
490,GRB100728B,95373493,3,32
491,GRB100802A,95373494,4,36
492,GRB100805A,95373495,4,22
493,GRB100807A,95373498,5,31
494,GRB100814A,95373501,6,32
495,GRB100816A,95373503,3,40
496,GRB100823A,95373504,3,29
497,GRB100901A,95373505,5,29
498,GRB100902A,95373506,7,31
499,GRB100904A,95373507,6,39
500,GRB100905A,95373508,3,27
501,GRB100906A,95373509,10,28
502,GRB100915A,95373511,3,29
503,GRB100917A,95373515,3,29
504,GRB100924A,95373517,6,33
505,GRB100928A,95373518,3,35
506,GRB101008A,95373519,3,22
507,GRB101011A,95373520,5,29
508,GRB101017A,95373521,3,32
509,GRB101020A,95373522,3,29
510,GRB101023A,95373524,4,29
511,GRB101024A,95373527,7,31
512,GRB101030A,95373528,5,22
513,GRB101117B,95373530,3,35
514,GRB101201A,95373532,4,29
515,GRB101204A,95373533,4,32
516,GRB101213A,95373534,3,29
517,GRB101219A,95373535,4,33
518,GRB101219B,95373536,7,29
519,GRB101224A,95373538,3,34
520,GRB110102A,95373539,7,26
521,GRB110106A,95373543,4,29
