Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level,Cluster,Color
GRB081118,GRB081118_334877.png,25637,95373279,9,4,9,7,Simple/Other,10,5,9,0,1.4812257933030566,0.0706919894512403,0.9293080105487596,1.4812257933030566,0.2351389831458541,0.7648610168541459,6,brown
GRB081121,GRB081121_335105.png,25637,95373281,3,3,13,3,Other,8,0,12,0,3.0,0.0576688856224374,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295,5,purple
GRB081126,GRB081126_335647.png,25637,95373283,1,1,13,0,Other,13,0,5,0,2.99127270878144,0.058071608575696,0.941928391424304,-0.8892972917998876,0.3120363567395925,0.6879636432604075,3,orange
GRB081127,GRB081127_335715.png,25637,95373284,6,3,6,9,Too Noisy,7,2,5,0,2.4494897427831783,0.0917211133115718,0.9082788866884282,0.0,0.0917211133115718,0.9082788866884282,6,brown
GRB081128,GRB081128_335895.png,25637,95373286,8,3,12,2,Other,11,9,13,0,2.475361211502905,0.0896374211493169,0.9103625788506832,0.753370803500884,0.1647330137172542,0.8352669862827458,6,brown
GRB081203A,GRB081203A_336489.png,25637,95373287,9,9,4,3,Simple/Extended,7,10,8,0,1.7179113807746669,0.1353102160463832,0.8646897839536167,1.7179113807746669,0.184309933662593,0.8156900663374069,4,gray
GRB081210,GRB081210_337073.png,25637,95373288,7,11,12,2,Other,17,6,18,0,1.7597653802562396,0.0776793843990122,0.9223206156009878,1.3198240351921795,0.176677465782578,0.823322534217422,8,cyan
GRB081211A,GRB081211A_337115.png,25637,95373289,13,0,0,0,Simple,9,3,3,0,3.0,0.0576688856224374,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295,1,blue
GRB081221,GRB081221_337889.png,25637,95373291,2,2,11,1,Other,7,7,8,0,2.9848100289785457,0.058372106706994,0.941627893293006,-0.8528028654224417,0.2907949580481286,0.7092050419518714,3,orange
GRB081222,GRB081222_337914.png,25637,95373292,12,13,1,4,Simple/Extended,6,16,4,0,1.8593393604027364,0.1154521011943601,0.8845478988056399,1.52127765851133,0.1599347418412819,0.840065258158718,4,gray
GRB081226A,GRB081226A_338177.png,25637,95373294,13,2,1,2,Simple,11,1,0,0,2.989672946978801,0.0581458123112459,0.941854187688754,-0.8793155726408238,0.3060177571255631,0.6939822428744369,7,pink
GRB081228,GRB081228_338338.png,25637,95373295,12,0,0,1,Simple,10,2,0,0,2.9902518020086637,0.0581189488320708,0.9418810511679292,-0.7689218919450849,0.3477243781102923,0.6522756218897077,1,blue
GRB081230,GRB081230_338633.png,25637,95373297,4,3,17,6,Other,9,6,14,0,2.943467343117637,0.0603412873615745,0.9396587126384256,-0.46475800154489,0.2575521698395795,0.7424478301604205,5,purple
GRB090102,GRB090102_338895.png,25637,95373299,0,1,12,1,Other,3,3,11,0,2.989672946978801,0.0581458123112459,0.941854187688754,-0.8793155726408238,0.3060177571255631,0.6939822428744369,3,orange
GRB090107A,GRB090107A_339295.png,25637,95373300,0,7,15,4,Other,19,1,7,0,2.6768057935155376,0.0752530848097192,0.9247469151902808,0.1574591643244434,0.1331512428857715,0.8668487571142285,5,purple
GRB090111,GRB090111_339696.png,25637,95373301,1,2,16,3,Other,3,11,12,0,2.9797977499945336,0.0586065090421672,0.9413934909578328,-0.7094756547606033,0.291456885331427,0.708543114668573,3,orange
