Burst_Name,BurstID,Burst_PNG,Simple,Extended,Other,Too_Noisy,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Verify,Simple_Zscore,Simple_Pvalue,Simple_Confidence,Extended_Zscore,Extended_Pvalue,Extended_Confidence,Other_Zscore,Other_Pvalue,Other_Confidence,Too_Noisy_Zscore,Too_Noisy_Pvalue,Too_Noisy_Confidence,Final_Confidence
GRB050802,95372843,GRB050802_148646.png,7,19,10,3,7,23,14,0,Extended,-0.5052544299258066,0.6133801451038756,0.3866198548961244,1.622266077921186,0.10474638865869235,0.8952536113413077,-0.26239595692308976,0.7930161894223136,0.20698381057768644,-0.322645991056268,0.7469633590705507,0.25303664092944933,0.8952536113413077
GRB050803,95372846,GRB050803_148833.png,1,12,22,0,17,11,22,0,Other,-1.006509710674643,0.3141704428058967,0.6858295571941033,0.7727237422529032,0.4396858924477214,0.5603141075522786,1.2208896481140956,0.2221278044701449,0.7778721955298551,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.7778721955298551
GRB050813,95372847,GRB050813_150139.png,12,0,1,1,12,0,0,0,Simple,1.745527777320182,0.08089304162089306,0.9191069583791069,-1.2454783546646422,0.21295596714697496,0.787044032853025,-0.9996589791118481,0.31747557014572303,0.682524429854277,-0.3534027266043161,0.7237865420043808,0.27621345799561925,0.9191069583791069
GRB050814,95372849,GRB050814_150314.png,2,7,8,15,1,11,7,0,Too_Noisy,-0.8938185204334756,0.37141899829044034,0.6285810017095597,0.042176629045770894,0.9663578932979653,0.03364210670203471,-0.2879446755137892,0.7733890883194916,0.2266109116805084,1.8706937127139105,0.061387546781662916,0.9386124532183371,0.9386124532183371
GRB050815,95372850,GRB050815_150532.png,11,2,1,0,10,2,0,0,Simple,1.5082831662861453,0.13148206971502496,0.868517930284975,-0.40456081428233165,0.6858003672743209,0.3141996327256791,-0.9996589791118481,0.31747557014572303,0.682524429854277,-0.7532402887289411,0.45130553312602073,0.5486944668739793,0.868517930284975
GRB050819,95372851,GRB050819_151131.png,8,2,10,12,10,0,7,0,Too_Noisy,-0.27105141646912945,0.7863514872413646,0.2136485127586354,-0.8775769307473813,0.3801733530618985,0.6198266469381015,-0.0388446692544686,0.9690142307758027,0.030985769224197268,1.34590691242534,0.1783325392895181,0.8216674607104819,0.8216674607104819
GRB050820A,95372852,GRB050820A_151207.png,1,2,14,2,12,2,6,0,Other,-0.9265957364315991,0.3541364694099314,0.6458635305900686,-0.6258549038566239,0.5314101158837641,0.4685898841162359,1.652413267979866,0.09845033260788649,0.9015496673921135,-0.16400598665054641,0.8697264309637398,0.1302735690362602,0.9015496673921135
GRB050820B,95372855,GRB050820B_151334.png,3,3,13,1,13,3,6,0,Other,-0.6031938719167808,0.5463797239073875,0.45362027609261246,-0.3625149372632161,0.7169672632414839,0.28303273675851615,1.306295364545863,0.19145213288026053,0.8085478671197395,-0.4733539952417036,0.635960645687117,0.36403935431288303,0.8085478671197395
GRB050822,95372856,GRB050822_151486.png,2,4,16,2,6,13,14,0,Other,-0.8246221755485483,0.40958612757353396,0.590413872426466,-0.2644078908852799,0.7914656317832582,0.20853436821674176,1.3727220328816816,0.1698387769551586,0.8301612230448414,-0.2867631329168786,0.7742936935237028,0.2257063064762972,0.8301612230448414
GRB050824,95372857,GRB050824_151905.png,8,1,9,13,9,0,5,0,Too_Noisy,-0.24426573457818984,0.8070250196348154,0.19297498036518457,-1.0555937487718623,0.2911538581243984,0.7088461418756016,-0.12723499405616293,0.8987544091954454,0.10124559080455464,1.5941931405188572,0.11089278241939038,0.8891072175806096,0.8891072175806096
GRB050826,95372859,GRB050826_152113.png,5,8,7,16,1,8,10,0,Too_Noisy,-0.640098589188742,0.5221085061580828,0.4778914938419172,0.06261559704117421,0.9500726091467722,0.04992739085322784,-0.509366903299852,0.6104950706424619,0.3895049293575381,1.7346378756020588,0.08280496637254942,0.9171950336274506,0.9171950336274506
GRB050827,95372861,GRB050827_152325.png,9,5,12,1,15,2,15,0,,0.005733963070579929,0.9954249844635978,0.0045750155364021605,-0.15540006157646186,0.8765059356240514,0.12349406437594856,0.4870331217374304,0.6262348590025555,0.3737651409974445,-0.5459171083680244,0.5851229176113433,0.4148770823886567,0.18917007826692334
