Burst Name,Workflow,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB060203,25637,95372919,1,2,1,11,,"[1, 0, 3, 0, 0, 11]"
GRB060204B,25637,95372920,5,8,0,1,,"[8, 4, 3, 0, 0, 1]"
GRB060206,25637,95372922,7,2,1,0,,"[5, 5, 0, 0, 0, 0]"
GRB060210,25637,95372923,2,2,8,1,,"[5, 0, 8, 0, 1, 2]"
GRB060211A,25637,95372924,0,1,5,5,,"[1, 4, 3, 0, 0, 5]"
GRB060211B,25637,95372927,4,5,4,0,,"[7, 3, 4, 0, 1, 1]"
GRB060219,25637,95372928,1,1,3,8,,"[3, 1, 1, 0, 0, 8]"
GRB060223A,25637,95372929,5,5,2,2,,"[5, 2, 5, 0, 1, 3]"
GRB060223B,25637,95372931,4,0,8,0,,"[5, 2, 6, 0, 2, 2]"
GRB060306,25637,95372932,1,4,7,0,,"[5, 5, 5, 0, 0, 0]"
GRB060312,25637,95372933,3,3,10,0,,"[11, 4, 9, 0, 1, 1]"
GRB060313,25637,95372935,10,0,0,0,,"[9, 3, 0, 0, 0, 0]"
GRB060319,25637,95372936,3,6,3,0,,"[2, 8, 4, 0, 0, 0]"
GRB060322,25637,95372938,0,1,5,0,,"[3, 1, 4, 0, 0, 0]"
GRB060323,25637,95372939,0,4,6,1,,"[7, 2, 5, 0, 0, 1]"
GRB060403,25637,95372941,3,8,1,1,,"[1, 11, 2, 0, 0, 1]"
GRB060413,25637,95372942,6,1,3,0,,"[7, 1, 4, 0, 0, 0]"
GRB060418,25637,95372944,1,4,8,0,,"[5, 1, 7, 0, 1, 1]"
GRB060421,25637,95372945,1,5,13,0,,"[9, 4, 10, 0, 2, 2]"
GRB060424,25637,95372946,1,3,3,0,,"[3, 1, 5, 0, 0, 0]"
GRB060427,25637,95372948,1,5,0,7,,"[1, 3, 3, 0, 0, 7]"
GRB060428A,25637,95372950,2,3,5,0,,"[7, 2, 4, 0, 0, 0]"
GRB060428B,25637,95372951,1,4,2,5,,"[4, 2, 2, 0, 1, 6]"
GRB060501,25637,95372952,3,2,2,1,,"[3, 4, 2, 0, 0, 1]"
GRB060502A,25637,95372955,6,4,1,0,,"[1, 9, 1, 0, 1, 1]"
GRB060502B,25637,95372956,6,0,4,0,,"[7, 0, 0, 0, 3, 3]"
GRB060507,25637,95372957,1,7,2,0,,"[4, 8, 4, 0, 0, 0]"
GRB060510A,25637,95372958,6,5,6,0,,"[5, 11, 10, 0, 0, 0]"
GRB060510B,25637,95372959,0,1,7,2,,"[2, 1, 8, 0, 0, 2]"
GRB060512,25637,95372962,8,1,3,0,,"[9, 0, 3, 0, 1, 1]"
GRB060515,25637,95372963,1,6,0,3,,"[1, 3, 2, 0, 0, 3]"
GRB060516,25637,95372964,0,2,1,11,,"[3, 0, 1, 0, 1, 12]"
GRB060522,25637,95372965,0,1,3,10,,"[1, 0, 2, 0, 1, 12]"
GRB060526,25637,95372967,0,4,7,1,,"[10, 1, 1, 0, 1, 2]"
GRB060602A,25637,95372969,0,5,2,5,,"[1, 3, 4, 0, 0, 6]"
GRB060604,25637,95372970,0,1,3,5,,"[2, 1, 2, 0, 1, 6]"
GRB060605,25637,95372971,1,1,9,2,,"[3, 5, 4, 0, 2, 4]"
GRB060607A,25637,95372972,2,7,3,0,,"[2, 11, 6, 0, 0, 0]"
GRB060607B,25637,95372974,0,4,5,2,,"[1, 8, 5, 0, 0, 2]"
GRB060614,25637,95372976,1,8,3,0,,"[1, 4, 10, 0, 1, 1]"
GRB060707,25637,95372977,2,4,7,1,,"[4, 7, 7, 0, 0, 1]"
GRB060708,25637,95372978,6,3,0,0,,"[2, 7, 0, 0, 0, 0]"
GRB060712,25637,95372980,0,1,7,4,,"[1, 0, 7, 0, 0, 4]"
GRB060714,25637,95372981,0,6,6,1,,"[4, 9, 9, 0, 0, 1]"
GRB060717,25637,95372983,10,0,1,0,,"[10, 1, 0, 0, 0, 0]"
GRB060719,25637,95372984,1,2,7,0,,"[7, 2, 0, 0, 1, 1]"
GRB060729,25637,95372985,2,6,10,0,,"[10, 8, 8, 0, 0, 0]"
GRB060801,25637,95372987,11,1,0,1,,"[6, 5, 0, 0, 1, 2]"
GRB060804,25637,95372989,3,3,7,0,,"[5, 2, 8, 0, 0, 0]"
GRB060805A,25637,95372990,8,1,1,2,,"[8, 1, 1, 0, 1, 3]"
GRB060807,25637,95372991,6,1,2,3,,"[6, 3, 3, 0, 0, 3]"
GRB060813,25637,95372993,8,6,1,0,,"[10, 5, 3, 0, 0, 0]"
GRB060814,25637,95372994,0,7,6,0,,"[9, 3, 5, 0, 0, 0]"
GRB060825,25637,95372996,9,0,1,0,,"[8, 1, 3, 0, 0, 0]"
GRB060904A,25637,95372997,5,0,7,1,,"[8, 2, 7, 0, 0, 1]"
GRB060904B,25637,95372998,3,6,1,0,,"[6, 4, 4, 0, 1, 1]"
GRB060906,25637,95373000,1,2,5,2,,"[3, 2, 6, 0, 0, 2]"
GRB060908,25637,95373002,0,3,7,0,,"[6, 2, 6, 0, 0, 0]"
GRB060912A,25637,95373003,8,1,0,0,,"[4, 4, 0, 0, 1, 1]"
GRB060919,25637,95373004,5,5,3,0,,"[2, 9, 3, 0, 0, 0]"
GRB060923A,25637,95373006,2,3,8,0,,"[8, 4, 5, 0, 1, 1]"
GRB060923B,25637,95373007,10,2,1,1,,"[10, 1, 2, 0, 1, 2]"
GRB060923C,25637,95373009,0,0,1,6,,"[0, 0, 1, 0, 0, 6]"
GRB060926,25637,95373010,9,2,1,0,,"[3, 8, 0, 0, 1, 1]"
GRB060927,25637,95373011,0,2,7,0,,"[6, 2, 5, 0, 0, 0]"
GRB060929,25637,95373013,1,2,1,6,,"[3, 1, 1, 0, 0, 6]"
GRB061002,25637,95373015,1,1,8,3,,"[1, 0, 9, 0, 0, 3]"
GRB061004,25637,95373016,13,0,0,0,Simple,"[11, 1, 0, 0, 1, 1]"
GRB061006,25637,95373018,10,10,2,0,,"[15, 3, 7, 0, 1, 2]"
GRB061007,25637,95373019,1,5,5,1,,"[6, 2, 5, 0, 1, 2]"
GRB061019,25637,95373020,2,4,13,1,,"[12, 7, 4, 0, 0, 1]"
GRB061021,25637,95373021,3,5,0,0,,"[1, 7, 0, 0, 0, 0]"
GRB061028,25637,95373023,0,2,3,5,,"[0, 0, 5, 0, 0, 5]"
GRB061102,25637,95373025,0,2,4,9,,"[1, 2, 4, 0, 0, 9]"
GRB061110A,25637,95373027,3,7,1,2,,"[1, 8, 4, 0, 0, 2]"
GRB061110B,25637,95373029,1,3,1,5,,"[0, 1, 3, 0, 1, 6]"
GRB061121,25637,95373030,4,2,6,0,,"[10, 1, 3, 0, 0, 0]"
GRB061126,25637,95373031,0,7,6,0,,"[5, 1, 9, 0, 0, 0]"
GRB061201,25637,95373033,12,1,1,0,,"[11, 1, 1, 0, 1, 1]"
GRB061202,25637,95373034,2,6,0,0,,"[3, 6, 1, 0, 0, 0]"
GRB061210,25637,95373035,8,4,0,1,,"[11, 0, 1, 0, 0, 1]"
GRB061217,25637,95373036,5,0,2,3,,"[4, 0, 1, 0, 1, 5]"
GRB061222A,25637,95373038,2,2,8,0,,"[6, 2, 6, 0, 1, 1]"
GRB061222B,25637,95373040,3,4,4,0,,"[3, 1, 6, 0, 0, 0]"
GRB070103,25637,95373041,0,2,6,0,,"[5, 1, 5, 0, 0, 0]"
GRB070107,25637,95373043,3,7,2,0,,"[3, 7, 3, 0, 0, 0]"
GRB070110,25637,95373045,0,10,4,2,,"[0, 11, 7, 0, 1, 3]"
GRB070129,25637,95373047,1,0,1,3,,"[1, 1, 0, 0, 0, 3]"
GRB070208,25637,95373048,1,6,10,1,,"[12, 4, 7, 0, 0, 1]"
GRB070209,25637,95373049,0,0,4,7,,"[1, 0, 2, 0, 1, 8]"
GRB070219,25637,95373050,3,9,1,0,,"[1, 8, 4, 0, 1, 2]"
GRB070220,25637,95373052,7,7,1,0,,"[3, 10, 5, 0, 0, 0]"
GRB070223,25637,95373054,0,7,2,3,,"[1, 5, 7, 0, 0, 3]"
GRB070224,25637,95373055,1,5,1,5,,"[1, 4, 3, 0, 0, 5]"
GRB070227,25637,95373057,8,0,1,1,,"[7, 1, 0, 0, 2, 3]"
GRB070306,25637,95373059,2,3,8,1,,"[6, 4, 6, 0, 1, 2]"
GRB070318,25637,95373060,7,5,0,0,,"[1, 12, 1, 0, 1, 1]"
GRB070328,25637,95373061,4,7,1,0,,"[6, 7, 2, 0, 0, 0]"
GRB070330,25637,95373062,7,1,3,0,,"[7, 3, 2, 0, 0, 0]"
GRB070411,25637,95373063,0,1,4,1,,"[3, 3, 2, 0, 0, 1]"
GRB070412,25637,95373065,2,3,3,2,,"[2, 4, 3, 0, 0, 2]"
GRB070419A,25637,95373067,2,1,0,9,,"[1, 1, 0, 0, 1, 11]"
GRB070419B,25637,95373069,1,6,2,0,,"[0, 5, 5, 0, 0, 0]"
GRB070420,25637,95373070,6,4,0,0,,"[7, 1, 4, 0, 1, 1]"
GRB070427,25637,95373073,4,0,2,0,,"[4, 1, 0, 0, 1, 1]"
GRB070429A,25637,95373074,1,4,0,7,,"[0, 4, 1, 0, 1, 8]"
GRB070429B,25637,95373075,11,0,0,0,Simple,"[11, 1, 0, 0, 0, 0]"
GRB070506,25637,95373076,12,1,0,0,Simple,"[11, 2, 0, 0, 0, 0]"
GRB070508,25637,95373077,3,2,9,0,,"[7, 3, 8, 0, 1, 1]"
GRB070509,25637,95373078,11,1,0,0,Simple,"[2, 7, 2, 0, 1, 1]"
GRB070517,25637,95373079,4,3,2,0,,"[4, 5, 2, 0, 0, 0]"
GRB070518,25637,95373082,8,1,1,1,,"[6, 4, 1, 0, 1, 2]"
GRB070520A,25637,95373083,2,0,4,5,,"[0, 2, 4, 0, 2, 7]"
GRB070520B,25637,95373085,3,5,5,3,,"[1, 7, 5, 0, 2, 7]"
GRB070521,25637,95373088,0,1,8,0,,"[2, 0, 7, 0, 1, 1]"
GRB070529,25637,95373089,2,5,1,4,,"[0, 6, 3, 0, 0, 5]"
GRB070531,25637,95373090,0,7,1,0,,"[1, 6, 4, 0, 0, 0]"
GRB070611,25637,95373091,5,0,3,2,,"[3, 0, 3, 0, 2, 4]"
GRB070612A,25637,95373092,1,7,4,2,,"[1, 9, 6, 0, 0, 3]"
GRB070612B,25637,95373093,10,1,2,0,,"[8, 0, 4, 0, 0, 0]"
GRB070616,25637,95373096,1,5,4,3,,"[2, 3, 7, 0, 0, 3]"
GRB070621,25637,95373098,1,2,7,0,,"[0, 2, 7, 0, 0, 0]"
GRB070628,25637,95373099,3,0,1,0,,"[4, 0, 1, 0, 0, 0]"
GRB070704,25637,95373101,1,8,1,0,,"[2, 9, 5, 0, 0, 0]"
GRB070714A,25637,95373102,12,0,0,0,Simple,"[11, 1, 0, 0, 0, 0]"
GRB070714B,25637,95373103,7,6,0,0,,"[11, 1, 4, 0, 0, 0]"
GRB070721A,25637,95373104,9,1,0,0,,"[7, 3, 0, 0, 0, 0]"
GRB070721B,25637,95373105,1,8,8,1,,"[8, 11, 8, 0, 1, 2]"
GRB070724A,25637,95373109,13,0,1,0,Simple,"[13, 1, 0, 0, 1, 1]"
GRB070729,25637,95373110,7,0,0,0,,"[7, 0, 0, 0, 0, 0]"
GRB070731,25637,95373112,17,0,0,0,Simple,"[12, 1, 2, 0, 3, 3]"
GRB070802,25637,95373114,2,6,3,4,,"[3, 3, 2, 0, 1, 5]"
GRB070805,25637,95373115,1,5,3,4,,"[2, 5, 5, 0, 1, 5]"
GRB070808,25637,95373116,5,7,0,0,,"[1, 10, 2, 0, 0, 0]"
GRB070809,25637,95373117,19,0,0,0,Simple,"[17, 1, 2, 0, 1, 1]"
GRB070810A,25637,95373118,10,3,2,0,,"[5, 9, 1, 0, 1, 1]"
GRB070810B,25637,95373119,4,0,3,1,,"[3, 1, 0, 0, 3, 4]"
GRB070911,25637,95373122,0,2,6,0,,"[2, 1, 5, 0, 1, 1]"
GRB070913,25637,95373123,11,0,0,0,Simple,"[10, 0, 0, 0, 1, 1]"
GRB070917,25637,95373126,6,4,1,0,,"[3, 8, 1, 0, 0, 0]"
GRB070920A,25637,95373128,0,0,3,9,,"[0, 0, 2, 0, 1, 10]"
GRB070920B,25637,95373129,13,0,2,0,,"[13, 0, 2, 0, 1, 1]"
GRB070923,25637,95373130,7,0,5,2,,"[9, 0, 0, 0, 3, 5]"
GRB071001,25637,95373131,0,4,7,0,,"[3, 6, 4, 0, 1, 2]"
GRB071003,25637,95373132,1,3,5,0,,"[2, 5, 2, 0, 1, 1]"
GRB071006,25637,95373133,2,2,3,0,,"[4, 1, 1, 0, 1, 1]"
GRB071008,25637,95373135,9,4,2,0,,"[9, 2, 3, 0, 1, 1]"
GRB071010A,25637,95373137,6,3,0,0,,"[6, 3, 0, 0, 1, 1]"
GRB071010B,25637,95373138,5,0,4,0,,"[2, 6, 3, 0, 1, 1]"
GRB071010C,25637,95373141,3,1,9,3,,"[6, 2, 5, 0, 2, 5]"
GRB071011,25637,95373142,0,2,6,0,,"[2, 3, 4, 0, 0, 0]"
GRB071013,25637,95373143,0,6,1,5,,"[0, 5, 4, 0, 0, 5]"
GRB071018,25637,95373144,0,0,0,9,,"[0, 0, 0, 0, 0, 9]"
GRB071020,25637,95373146,8,2,4,0,,"[5, 6, 3, 0, 1, 1]"
GRB071021,25637,95373147,6,1,4,2,,"[7, 1, 2, 0, 1, 4]"
GRB071025,25637,95373149,3,4,1,0,,"[4, 4, 0, 0, 0, 0]"
GRB071028A,25637,95373151,1,0,2,10,,"[1, 0, 2, 0, 1, 11]"
GRB071028B,25637,95373152,1,2,10,0,,"[4, 1, 5, 0, 4, 5]"
GRB071031,25637,95373155,1,5,2,4,,"[5, 3, 3, 0, 0, 4]"
GRB071101,25637,95373156,10,0,0,0,,"[8, 1, 1, 0, 1, 1]"
GRB071112B,25637,95373157,15,0,0,2,,"[8, 4, 1, 0, 2, 5]"
GRB071117,25637,95373158,14,4,0,1,,"[3, 12, 2, 0, 1, 2]"
GRB071118,25637,95373159,0,0,0,13,Too Noisy,"[0, 0, 0, 0, 0, 13]"
GRB071122,25637,95373160,0,1,3,10,,"[1, 0, 4, 0, 1, 11]"
GRB071129,25637,95373163,1,6,1,2,,"[0, 5, 5, 0, 1, 3]"
GRB071227,25637,95373165,5,10,2,0,,"[7, 3, 6, 0, 2, 3]"
GRB080123,25637,95373167,1,0,2,4,,"[0, 1, 0, 0, 1, 5]"
GRB080129,25637,95373168,1,1,1,12,,"[1, 0, 3, 0, 0, 12]"
GRB080205,25637,95373169,0,3,6,0,,"[6, 0, 6, 0, 0, 0]"
GRB080207,25637,95373170,0,1,7,6,,"[3, 0, 6, 0, 1, 8]"
GRB080210,25637,95373171,1,5,6,0,,"[6, 1, 8, 0, 0, 0]"
GRB080212,25637,95373172,0,2,6,3,,"[3, 1, 7, 0, 0, 3]"
GRB080218A,25637,95373173,0,1,5,4,,"[2, 0, 4, 0, 1, 6]"
GRB080218B,25637,95373175,8,2,0,0,,"[6, 4, 0, 0, 0, 0]"
GRB080229A,25637,95373177,1,4,9,0,,"[10, 4, 6, 0, 0, 0]"
GRB080303,25637,95373179,2,5,1,1,,"[1, 7, 2, 0, 0, 1]"
GRB080307,25637,95373181,4,2,1,4,,"[0, 4, 2, 0, 1, 5]"
GRB080310,25637,95373182,5,5,1,0,,"[5, 4, 3, 0, 0, 0]"
GRB080319A,25637,95373183,0,5,8,0,,"[2, 8, 7, 0, 0, 0]"
GRB080319B,25637,95373184,3,7,5,0,,"[8, 4, 6, 0, 0, 0]"
GRB080319C,25637,95373185,0,7,2,1,,"[0, 7, 4, 0, 1, 2]"
GRB080319D,25637,95373186,0,0,1,8,,"[0, 0, 1, 0, 0, 8]"
GRB080320,25637,95373187,3,5,1,1,,"[1, 6, 1, 0, 0, 2]"
GRB080325,25637,95373189,0,3,2,5,,"[1, 3, 2, 0, 0, 5]"
GRB080328,25637,95373191,0,5,10,0,,"[8, 5, 12, 0, 0, 0]"
GRB080330,25637,95373193,0,6,6,2,,"[3, 6, 4, 0, 0, 2]"
GRB080409,25637,95373194,1,1,5,0,,"[5, 3, 1, 0, 0, 0]"
GRB080411,25637,95373195,0,2,8,0,,"[6, 3, 6, 0, 0, 0]"
GRB080413A,25637,95373197,0,2,11,1,,"[6, 2, 7, 0, 0, 1]"
