Burst_Name,Burst_Image,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB050922B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050922B_156434.png,95372870,1,2,3,14,,"[3, 2, 4, 0, 0, 14]"
GRB050922C,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050922C_156467.png,95372872,11,1,0,0,Simple,"[10, 0, 1, 0, 0, 0]"
GRB050925,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB050925_156838.png,95372875,13,0,2,0,Simple,"[12, 1, 0, 0, 2, 2]"
GRB051001,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051001_157870.png,95372876,5,4,19,21,,"[14, 3, 15, 0, 2, 24]"
GRB051006,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051006_158593.png,95372877,12,11,22,6,,"[17, 8, 23, 0, 4, 10]"
GRB051008,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051008_158855.png,95372878,14,7,19,4,,"[26, 8, 20, 0, 2, 6]"
GRB051016A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051016A_159913.png,95372880,10,21,12,5,,"[20, 9, 16, 0, 1, 6]"
GRB051016B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051016B_159994.png,95372881,16,1,5,1,,"[6, 9, 9, 0, 3, 4]"
GRB051021B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051021B_160672.png,95372882,1,8,1,1,,"[0, 9, 2, 0, 0, 1]"
GRB051105A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051105A_162580.png,95372884,14,0,3,2,,"[11, 0, 1, 0, 5, 7]"
GRB051109A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051109A_163136.png,95372885,15,19,10,3,,"[26, 10, 16, 0, 1, 4]"
GRB051109B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051109B_163170.png,95372887,17,4,5,0,,"[16, 3, 9, 0, 3, 3]"
GRB051111,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051111_163438.png,95372889,28,27,0,6,,"[4, 50, 5, 0, 0, 6]"
GRB051113,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051113_163765.png,95372890,2,4,17,3,,"[11, 7, 9, 0, 3, 6]"
GRB051117A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051117A_164268.png,95372891,7,21,10,9,,"[5, 21, 17, 0, 3, 13]"
GRB051117B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051117B_164279.png,95372893,11,7,11,15,,"[9, 4, 17, 0, 4, 20]"
GRB051210,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051210_171931.png,95372894,11,0,0,0,Simple,"[9, 2, 0, 0, 0, 0]"
GRB051213,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051213_172516.png,95372895,2,6,23,19,,"[15, 7, 13, 0, 2, 22]"
GRB051221A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051221A_173780.png,95372896,15,0,0,0,Simple,"[9, 5, 0, 0, 1, 1]"
GRB051221B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051221B_173904.png,95372898,2,5,11,23,,"[4, 4, 12, 0, 3, 26]"
GRB051227,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB051227_174738.png,95372900,12,26,3,2,,"[10, 20, 9, 0, 0, 6]"
GRB060102,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060102_175603.png,95372902,12,8,15,3,,"[12, 14, 13, 0, 2, 5]"
GRB060105,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060105_175942.png,95372903,0,6,19,1,,"[12, 11, 15, 0, 2, 3]"
GRB060108,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060108_176453.png,95372904,21,14,8,1,,"[25, 13, 9, 0, 2, 3]"
GRB060109,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060109_176620.png,95372905,1,1,15,5,,"[9, 7, 6, 0, 1, 8]"
GRB060110,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060110_176702.png,95372907,22,20,5,3,,"[2, 43, 5, 0, 0, 3]"
GRB060111A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060111A_176818.png,95372908,17,3,1,0,Simple,"[11, 8, 3, 0, 1, 1]"
GRB060111B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060111B_176918.png,95372910,2,23,24,3,,"[7, 42, 22, 0, 1, 4]"
GRB060115,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060115_177408.png,95372911,0,3,12,0,Other,"[12, 1, 3, 0, 0, 0]"
GRB060116,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060116_177533.png,95372914,15,8,12,14,,"[11, 5, 18, 0, 2, 16]"
GRB060117,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060117_177666.png,95372915,0,4,16,0,Other,"[12, 5, 6, 0, 1, 1]"
GRB060124,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060124_178750.png,95372916,2,1,11,1,,"[4, 3, 11, 0, 0, 1]"
