Number,User,ID,Shape,Definer
133,Dansky1,84472381,Simple Pulse,Symmetrical Structure
134,Dansky1,84472664,Other,Underlying emission
135,Dansky1,84472488,Other,Underlying emission
136,AmyLien,84472760,Other,Underlying emission
137,Shigeru,84471812,Extended Emmissions,Underlying emission
138,Dansky1,84471882,Other,Underlying emission
139,AmyLien,84472721,Simple Pulse,Underlying emission
140,Dansky1,84471907,Simple Pulse,Nothing found
141,AmyLien,84471961,Simple Pulse,Underlying emission
142,Shigeru,84471744,Extended Emmissions,Underlying emission
143,Shigeru,84472639,Other,Fast.R Slow.D
144,Dansky1,84471858,Extended Emmissions,Underlying emission
145,Dansky1,84471743,Extended Emmissions,Fast.R Slow.D
146,Dansky1,84471563,Other,Nothing found
147,Dansky1,84472597,Other,Underlying emission
148,Dansky1,84472575,Extended Emmissions,Underlying emission
149,Dansky1,84471937,Other,Underlying emission
150,Dansky1,84471573,Other,Underlying emission
151,Sovanacharya,84472413,Simple Pulse,Fast.R Slow.D
152,Sovanacharya,84472489,Other,Nothing found
153,Sovanacharya,84471609,Other,Fast.R Slow.D
154,Sovanacharya,84472233,Extended Emmissions,Fast.R Slow.D
155,Sovanacharya,84472167,Extended Emmissions,Underlying emission
156,Sovanacharya,84472484,Extended Emmissions,Fast.R Slow.D
157,Sovanacharya,84471661,Simple Pulse,Nothing found
158,Sovanacharya,84471867,Simple Pulse,Fast.R Slow.D
159,Sovanacharya,84471893,Extended Emmissions,Rapid Varying pulses
160,Sovanacharya,84471992,Extended Emmissions,Rapid Varying pulses
161,Sovanacharya,84471843,Extended Emmissions,Rapid Varying pulses
162,Sovanacharya,84471595,Simple Pulse,Fast.R Slow.D
163,Dansky1,84472554,Extended Emmissions,Underlying emission
164,Dansky1,84472705,Other,Nothing found
165,Dansky1,84471569,Other,Underlying emission
166,Dansky1,84472212,Other,Nothing found
167,Dansky1,84471793,Other,Underlying emission
168,Dansky1,84471513,Extended Emmissions,Underlying emission
169,Dansky1,84471846,Other,Underlying emission
170,Dansky1,84471871,Other,Underlying emission
171,Dansky1,84472802,Other,Underlying emission
172,Dansky1,84471588,Other,Underlying emission
173,Dansky1,84472282,Other,Underlying emission
174,Dansky1,84472049,Extended Emmissions,Fast.R Slow.D
175,Sovanacharya,85799854,Simple Pulse,Underlying emission
176,Sovanacharya,85799637,Simple Pulse,Underlying emission
177,marckuchner,85799703,Simple Pulse,Fast.R Slow.D
178,not-logged-in-af4d2686f95c01951b43,85799663,Simple Pulse,Fast.R Slow.D
179,not-logged-in-af4d2686f95c01951b43,85799576,Simple Pulse,Fast.R Slow.D
180,not-logged-in-af4d2686f95c01951b43,85799785,Other,Nothing found
181,AmyLien,85799720,Simple Pulse,Symmetrical Structure
182,LukeM714,85799860,Simple Pulse,Symmetrical Structure
183,LukeM714,85799843,Extended Emmissions,Rapid Varying pulses
184,LukeM714,85799819,Extended Emmissions,Rapid Varying pulses
185,LukeM714,85799734,Other,Rapid Varying pulses
186,LukeM714,85799692,Extended Emmissions,Underlying emission
187,LukeM714,85799635,Extended Emmissions,Rapid Varying pulses
188,LukeM714,85799742,Extended Emmissions,Underlying emission
189,LukeM714,85799878,Extended Emmissions,Rapid Varying pulses
190,LukeM714,85799593,Extended Emmissions,Symmetrical Structure
191,LukeM714,85799715,Extended Emmissions,Rapid Varying pulses
192,LukeM714,85799789,Simple Pulse,Nothing found
193,LukeM714,85799782,Extended Emmissions,Rapid Varying pulses
194,LukeM714,85799654,Simple Pulse,Nothing found
195,LukeM714,85799832,Simple Pulse,Nothing found
196,LukeM714,85799828,Extended Emmissions,Fast.R Slow.D
197,LukeM714,85799848,Simple Pulse,Nothing found
198,LukeM714,85799788,Extended Emmissions,Rapid Varying pulses
199,LukeM714,85799876,Simple Pulse,Nothing found
200,LukeM714,85799688,Extended Emmissions,Underlying emission
201,LukeM714,85799720,Extended Emmissions,Rapid Varying pulses
202,LukeM714,85799830,Extended Emmissions,Underlying emission
203,LukeM714,85799598,Extended Emmissions,Underlying emission
204,LukeM714,85799708,Simple Pulse,Nothing found
205,LukeM714,85799591,Extended Emmissions,Symmetrical Structure
206,katkurilov,85799692,Other,Symmetrical Structure
207,AmyLien,85799811,Other,Rapid Varying pulses
208,AmyLien,90377098,Other,Rapid Varying pulses
209,Sovanacharya,90376895,Extended Emmissions,Rapid Varying pulses
210,Sovanacharya,90376940,Simple Pulse,Symmetrical Structure
211,Sovanacharya,90376879,Extended Emmissions,Symmetrical Structure
212,not-logged-in-f4dc425d5df4b7ceaceb,90376867,Extended Emmissions,Symmetrical Structure
213,not-logged-in-f4dc425d5df4b7ceaceb,90376952,Other,Rapid Varying pulses
214,not-logged-in-f4dc425d5df4b7ceaceb,90376891,Simple Pulse,Nothing found
215,not-logged-in-f4dc425d5df4b7ceaceb,90376908,Extended Emmissions,Fast.R Slow.D
216,Marcossilva,90376950,Simple Pulse,Symmetrical Structure
217,SebastianReisch,90376916,Extended Emmissions,Nothing found
218,SebastianReisch,90376908,Simple Pulse,Symmetrical Structure
