Number,User,ID,Shape,Definer
1437,Spacekadet,90376928,Other,Symmetrical Structure
1438,Bydand70,90376908,Extended Emmissions,Fast.R Slow.D
1439,Spacekadet,90376910,Extended Emmissions,Underlying emission
1440,Spacekadet,90376877,Extended Emmissions,Symmetrical Structure
1441,Spacekadet,90376885,Extended Emmissions,Symmetrical Structure
1442,Spacekadet,90376937,Simple Pulse,Underlying emission
1443,Spacekadet,90376953,Simple Pulse,Nothing found
1444,Spacekadet,90376905,Extended Emmissions,Rapid Varying pulses
1445,Spacekadet,90376913,Extended Emmissions,Fast.R Slow.D
1446,Spacekadet,90376884,Other,Rapid Varying pulses
1447,Spacekadet,90376889,Simple Pulse,Symmetrical Structure
1448,Spacekadet,90376942,Simple Pulse,Nothing found
1449,PattySo,90376918,Simple Pulse,Nothing found
1450,PattySo,90376959,Other,Nothing found
1451,PattySo,90376936,Simple Pulse,Nothing found
1452,PattySo,90376961,Other,Nothing found
1453,PattySo,90376929,Other,Nothing found
1454,Spacekadet,90376921,Simple Pulse,Underlying emission
1455,Spacekadet,90376887,Other,Underlying emission
1456,Spacekadet,90376867,Extended Emmissions,Underlying emission
1457,Spacekadet,90376955,Extended Emmissions,Underlying emission
1458,Spacekadet,90376880,Extended Emmissions,Underlying emission
1459,Spacekadet,90376899,Other,Underlying emission
1460,Spacekadet,90376864,Simple Pulse,Symmetrical Structure
1461,msn2700,90376906,Other,Rapid Varying pulses
1462,msn2700,90376865,Simple Pulse,Nothing found
1463,msn2700,90376934,Simple Pulse,Nothing found
1464,msn2700,90376876,Other,Nothing found
1465,msn2700,90376904,Simple Pulse,Fast.R Slow.D
1466,msn2700,90376961,Simple Pulse,Fast.R Slow.D
1467,msn2700,90376939,Simple Pulse,Underlying emission
1468,msn2700,90376882,Extended Emmissions,Fast.R Slow.D
1469,msn2700,90376936,Simple Pulse,Symmetrical Structure
1470,msn2700,90376908,Simple Pulse,Fast.R Slow.D
1471,msn2700,90376889,Simple Pulse,Symmetrical Structure
1472,msn2700,90376898,Simple Pulse,Fast.R Slow.D
1473,msn2700,90376958,Other,Nothing found
1474,msn2700,90376942,Other,Nothing found
1475,msn2700,90376899,Simple Pulse,Underlying emission
1476,msn2700,90376962,Other,Nothing found
1477,msn2700,90376955,Simple Pulse,Underlying emission
1478,msn2700,90376926,Simple Pulse,Fast.R Slow.D
1479,msn2700,90376884,Other,Nothing found
1480,msn2700,90376941,Simple Pulse,Symmetrical Structure
1481,msn2700,90376944,Simple Pulse,Fast.R Slow.D
1482,msn2700,90376931,Simple Pulse,Symmetrical Structure
1483,msn2700,90376956,Simple Pulse,Underlying emission
1484,msn2700,90376905,Simple Pulse,Fast.R Slow.D
1485,msn2700,90376949,Simple Pulse,Symmetrical Structure
1486,msn2700,90376887,Simple Pulse,Symmetrical Structure
1487,msn2700,90376897,Simple Pulse,Fast.R Slow.D
1488,msn2700,90376935,Simple Pulse,Fast.R Slow.D
1489,msn2700,90376885,Simple Pulse,Fast.R Slow.D
1490,msn2700,90376878,Simple Pulse,Nothing found
1491,msn2700,90376925,Simple Pulse,Nothing found
1492,msn2700,90376864,Simple Pulse,Symmetrical Structure
1493,msn2700,90376963,Simple Pulse,Fast.R Slow.D
1494,msn2700,90376921,Simple Pulse,Fast.R Slow.D
1495,msn2700,90376879,Simple Pulse,Symmetrical Structure
1496,msn2700,90376912,Simple Pulse,Fast.R Slow.D
1497,msn2700,90376937,Simple Pulse,Symmetrical Structure
1498,msn2700,90376953,Simple Pulse,Symmetrical Structure
1499,msn2700,90376965,Simple Pulse,Fast.R Slow.D
1500,msn2700,90376960,Simple Pulse,Fast.R Slow.D
1501,msn2700,90376881,Simple Pulse,Fast.R Slow.D
1502,msn2700,90376890,Simple Pulse,Fast.R Slow.D
1503,msn2700,90376874,Simple Pulse,Fast.R Slow.D
1504,msn2700,90376867,Other,Nothing found
1505,msn2700,90376877,Other,Nothing found
1506,msn2700,90376871,Simple Pulse,Symmetrical Structure
1507,msn2700,90376891,Simple Pulse,Symmetrical Structure
1508,msn2700,90376875,Simple Pulse,Fast.R Slow.D
1509,msn2700,90376928,Simple Pulse,Symmetrical Structure
1510,msn2700,90376933,Simple Pulse,Symmetrical Structure
1511,msn2700,90376919,Simple Pulse,Symmetrical Structure
1512,msn2700,90376892,Other,Nothing found
1513,msn2700,90376886,Simple Pulse,Fast.R Slow.D
1514,msn2700,90376959,Simple Pulse,Fast.R Slow.D
1515,msn2700,90376943,Simple Pulse,Fast.R Slow.D
1516,msn2700,90376895,Simple Pulse,Symmetrical Structure
1517,dianasironi,90376868,Extended Emmissions,Underlying emission
1518,sealbraun,90376887,Extended Emmissions,Symmetrical Structure
1519,sealbraun,90376955,Extended Emmissions,Symmetrical Structure
1520,sealbraun,90376933,Extended Emmissions,Symmetrical Structure
1521,sealbraun,90376897,Extended Emmissions,Symmetrical Structure
